s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
1099.323805,565.260031,179.106053,0.285206,0.691518,-0.000044,-0.104663,0.000366,0.000043,-0.000006,-6.816492,8.268186,-0.000006,0.000005,0.000368
1101.322576,566.799184,180.381236,0.285209,0.692230,0.000040,-0.104678,0.000347,0.000041,-0.000008,-6.807911,8.263071,-0.000008,0.000004,0.000349
1103.321347,568.337453,181.657486,0.285050,0.692905,0.000116,-0.104696,0.000328,0.000035,-0.000010,-6.807744,8.255677,-0.000010,0.000001,0.000330
1105.320117,569.874883,182.934745,0.284753,0.693543,0.000178,-0.104716,0.000310,0.000027,-0.000010,-6.816870,8.250793,-0.000010,-0.000006,0.000311
1107.318888,571.411521,184.212957,0.284351,0.694145,0.000221,-0.104735,0.000292,0.000016,-0.000009,-6.832720,8.249921,-0.000009,-0.000014,0.000293
1109.317658,572.947412,185.492068,0.283885,0.694712,0.000242,-0.104751,0.000275,0.000005,-0.000007,-6.852599,8.256367,-0.000007,-0.000024,0.000274
1111.316429,574.482599,186.772022,0.283398,0.695244,0.000241,-0.104760,0.000258,-0.000006,-0.000003,-6.872806,8.269879,-0.000003,-0.000033,0.000256
1113.315199,576.017127,188.052768,0.282932,0.695743,0.000222,-0.104760,0.000241,-0.000014,0.000002,-6.890591,8.285472,0.000002,-0.000039,0.000238
1115.313970,577.551037,189.334253,0.282519,0.696208,0.000190,-0.104751,0.000225,-0.000018,0.000007,-6.906651,8.298233,0.000007,-0.000042,0.000221
1117.312740,579.084371,190.616427,0.282177,0.696641,0.000153,-0.104733,0.000209,-0.000018,0.000011,-6.921877,8.304782,0.000011,-0.000040,0.000205
1119.311511,580.617170,191.899239,0.281904,0.697042,0.000122,-0.104709,0.000193,-0.000013,0.000013,-6.937018,8.295779,0.000013,-0.000033,0.000190
1121.310282,582.149476,193.182643,0.281680,0.697412,0.000106,-0.104682,0.000177,-0.000003,0.000014,-6.952050,8.265597,0.000014,-0.000021,0.000176
1123.309052,583.681326,194.466589,0.281464,0.697751,0.000114,-0.104656,0.000162,0.000011,0.000012,-6.966054,8.221276,0.000012,-0.000006,0.000162
1125.307823,585.212760,195.751032,0.281203,0.698061,0.000153,-0.104635,0.000147,0.000027,0.000009,-6.978161,8.170044,0.000009,0.000012,0.000149
1127.306593,586.743815,197.035927,0.280833,0.698341,0.000223,-0.104621,0.000133,0.000044,0.000005,-6.988698,8.117830,0.000005,0.000029,0.000137
1129.305364,588.274528,198.321229,0.280290,0.698593,0.000324,-0.104617,0.000119,0.000058,0.000000,-6.997510,8.070487,-0.000000,0.000045,0.000124
1131.304134,589.804935,199.606895,0.279519,0.698817,0.000450,-0.104621,0.000105,0.000068,-0.000004,-7.003859,8.033937,-0.000004,0.000056,0.000112
1133.302905,591.335071,200.892883,0.278482,0.699014,0.000590,-0.104633,0.000092,0.000072,-0.000008,-7.007336,8.012137,-0.000008,0.000062,0.000099
1135.301675,592.864970,202.179153,0.277159,0.699185,0.000733,-0.104650,0.000079,0.000071,-0.000010,-7.005201,8.003248,-0.000010,0.000062,0.000086
1137.300446,594.394666,203.465665,0.275556,0.699331,0.000868,-0.104671,0.000066,0.000064,-0.000011,-6.997594,8.003766,-0.000011,0.000056,0.000073
1139.299217,595.924190,204.752380,0.273702,0.699452,0.000983,-0.104694,0.000054,0.000051,-0.000012,-6.988421,8.010295,-0.000012,0.000045,0.000059
1141.297987,597.453575,206.039261,0.271647,0.699548,0.001069,-0.104717,0.000042,0.000035,-0.000011,-6.981532,8.022532,-0.000011,0.000030,0.000046
1143.296758,598.982850,207.326271,0.269453,0.699621,0.001120,-0.104737,0.000031,0.000017,-0.000009,-6.980366,8.036867,-0.000009,0.000014,0.000032
1145.295528,600.512046,208.613376,0.267192,0.699672,0.001136,-0.104753,0.000020,-0.000001,-0.000007,-6.986186,8.047724,-0.000007,-0.000003,0.000019
1147.294299,602.041191,209.900541,0.264934,0.699700,0.001118,-0.104763,0.000009,-0.000017,-0.000004,-6.999054,8.055783,-0.000004,-0.000018,0.000007
1149.293069,603.570314,211.187732,0.262744,0.699707,0.001069,-0.104767,-0.000002,-0.000031,-0.000000,-7.019107,8.061320,-0.000000,-0.000030,-0.000005
1151.291840,605.099442,212.474918,0.260674,0.699692,0.000998,-0.104764,-0.000012,-0.000040,0.000003,-7.046820,8.064062,0.000003,-0.000039,-0.000016
1153.290610,606.628602,213.762067,0.258763,0.699658,0.000912,-0.104754,-0.000022,-0.000046,0.000006,-7.079071,8.061260,0.000006,-0.000043,-0.000027
1155.289381,608.157818,215.049148,0.257034,0.699604,0.000818,-0.104740,-0.000032,-0.000048,0.000008,-7.111931,8.051001,0.000008,-0.000044,-0.000037
