s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
3755.645080,9.421501,-2073.859206,88.760305,5.467374,0.173484,-0.017375,0.012799,-0.001071,-0.001011,-6.096393,2.577941,-0.003221,-0.001290,0.012587
3757.644891,10.790504,-2075.275962,88.417318,5.494392,0.171188,-0.019883,0.014221,-0.001224,-0.001497,-6.247023,2.428759,-0.003920,-0.001503,0.013986
3759.644702,12.199829,-2076.653777,88.079114,5.524270,0.168652,-0.023386,0.015660,-0.001312,-0.002006,-6.420276,2.287460,-0.004635,-0.001673,0.015403
3761.644513,13.652238,-2077.987365,87.746032,5.557029,0.166017,-0.027894,0.017103,-0.001323,-0.002502,-6.605164,2.168328,-0.005328,-0.001793,0.016824
3763.644324,15.150042,-2079.271065,87.418114,5.592666,0.163444,-0.033343,0.018538,-0.001250,-0.002948,-6.796236,2.066302,-0.005964,-0.001860,0.018239
3765.644135,16.695001,-2080.498870,87.095073,5.631150,0.161101,-0.039608,0.019950,-0.001093,-0.003318,-7.001795,1.972039,-0.006518,-0.001872,0.019633
3767.643946,18.288234,-2081.664494,86.776294,5.672424,0.159153,-0.046518,0.021327,-0.000855,-0.003593,-7.217880,1.889138,-0.006973,-0.001833,0.020995
3769.643757,19.930127,-2082.761441,86.460846,5.716400,0.157749,-0.053874,0.022653,-0.000549,-0.003764,-7.430024,1.824213,-0.007323,-0.001753,0.022310
3771.643568,21.620265,-2083.783111,86.147535,5.762963,0.157005,-0.061465,0.023915,-0.000195,-0.003828,-7.648112,1.749504,-0.007567,-0.001645,0.023564
3773.643379,23.357376,-2084.722908,85.834979,5.811971,0.156993,-0.069076,0.025098,0.000183,-0.003783,-7.890707,1.632945,-0.007707,-0.001529,0.024743
3775.643190,25.139303,-2085.574368,85.521706,5.863253,0.157728,-0.076490,0.026189,0.000552,-0.003631,-8.142212,1.484078,-0.007745,-0.001426,0.025831
3777.643001,26.963000,-2086.331304,85.206277,5.916614,0.159163,-0.083492,0.027177,0.000883,-0.003372,-8.377950,1.340622,-0.007679,-0.001358,0.026813
3779.642812,28.824560,-2086.987940,84.887411,5.971834,0.161187,-0.089873,0.028049,0.001142,-0.003010,-8.627606,1.203525,-0.007512,-0.001348,0.027677
3781.642623,30.719275,-2087.539049,84.564102,6.028676,0.163632,-0.095439,0.028798,0.001303,-0.002556,-8.810570,1.110877,-0.007248,-0.001411,0.028408
3783.642434,32.641722,-2087.980084,84.235730,6.086882,0.166280,-0.100031,0.029413,0.001346,-0.002036,-8.926964,1.045417,-0.006904,-0.001558,0.028997
3785.642245,34.585882,-2088.307284,83.902134,6.146180,0.168885,-0.103550,0.029890,0.001260,-0.001484,-9.006801,0.988266,-0.006509,-0.001792,0.029438
3787.642056,36.545271,-2088.517759,83.563657,6.206289,0.171190,-0.105983,0.030224,0.001045,-0.000949,-9.067545,0.951052,-0.006098,-0.002112,0.029726
3789.641867,38.513090,-2088.609553,83.221139,6.266920,0.172946,-0.107405,0.030413,0.000711,-0.000472,-9.115070,0.972486,-0.005706,-0.002504,0.029863
3791.641678,40.482370,-2088.581669,82.875883,6.327783,0.173938,-0.107961,0.030456,0.000280,-0.000084,-9.160876,1.106263,-0.005355,-0.002954,0.029852
3793.641489,42.446125,-2088.434078,82.529568,6.388587,0.173998,-0.107834,0.030354,-0.000219,0.000211,-9.173363,1.281948,-0.005044,-0.003436,0.029698
3795.641300,44.397479,-2088.167696,82.184139,6.449046,0.173027,-0.107196,0.030111,-0.000752,0.000428,-9.115540,1.452989,-0.004756,-0.003921,0.029410
3797.641111,46.329795,-2087.784350,81.841669,6.508882,0.170996,-0.106167,0.029731,-0.001279,0.000600,-8.977333,1.579386,-0.004459,-0.004376,0.028997
3799.640922,48.236782,-2087.286720,81.504211,6.567831,0.167955,-0.104804,0.029222,-0.001762,0.000763,-8.781161,1.632923,-0.004122,-0.004766,0.028469
3801.640733,50.112595,-2086.678271,81.173649,6.625640,0.164028,-0.103096,0.028592,-0.002166,0.000944,-8.541967,1.686630,-0.003725,-0.005057,0.027836
3803.640544,51.951915,-2085.963173,80.851561,6.682076,0.159400,-0.100993,0.027850,-0.002463,0.001159,-8.308033,1.800721,-0.003261,-0.005222,0.027109
3805.640355,53.750027,-2085.146210,80.539115,6.736928,0.154303,-0.098423,0.027007,-0.002635,0.001411,-8.057933,1.971504,-0.002739,-0.005244,0.026298
3807.640166,55.502881,-2084.232676,80.236995,6.790003,0.148994,-0.095315,0.026074,-0.002675,0.001697,-7.789211,2.245841,-0.002174,-0.005117,0.025413
3809.639977,57.207138,-2083.228263,79.945369,6.841136,0.143734,-0.091609,0.025063,-0.002586,0.002009,-7.484087,2.604932,-0.001581,-0.004844,0.024464
3811.639788,58.860199,-2082.138945,79.663902,6.890182,0.138766,-0.087263,0.023988,-0.002382,0.002338,-7.152365,2.985254,-0.000980,-0.004443,0.023459
3813.639599,60.460215,-2080.970855,79.391808,6.937027,0.134300,-0.082251,0.022861,-0.002084,0.002674,-6.779252,3.309084,-0.000387,-0.003939,0.022407
3815.639410,62.006073,-2079.730178,79.127931,6.981578,0.130495,-0.076578,0.021694,-0.001721,0.003000,-6.355043,3.624789,0.000177,-0.003361,0.021315
3817.639221,63.497364,-2078.423036,78.870853,7.023769,0.127455,-0.070286,0.020501,-0.001320,0.003293,-5.903062,3.951856,0.000687,-0.002745,0.020192
3819.639032,64.934333,-2077.055404,78.619008,7.063559,0.125220,-0.063465,0.019293,-0.000914,0.003528,-5.414940,4.314760,0.001119,-0.002127,0.019045
3821.638843,66.317813,-2075.633024,78.370806,7.100929,0.123774,-0.056252,0.018081,-0.000531,0.003686,-4.901730,4.680589,0.001454,-0.001539,0.017885
3823.638654,67.649153,-2074.161348,78.124744,7.135884,0.123048,-0.048809,0.016876,-0.000195,0.003757,-4.420848,5.021782,0.001686,-0.001012,0.016719
3825.638465,68.930142,-2072.645493,77.879500,7.168445,0.122928,-0.041309,0.015688,0.000075,0.003744,-4.003041,5.313557,0.001820,-0.000568,0.015559
3827.638276,70.162929,-2071.090207,77.634009,7.198653,0.123271,-0.033909,0.014523,0.000267,0.003657,-3.622625,5.562545,0.001872,-0.000222,0.014414
3829.638087,71.349947,-2069.499855,77.387512,7.226564,0.123914,-0.026741,0.013391,0.000376,0.003511,-3.270508,5.787356,0.001856,0.000021,0.013293
3831.637898,72.493838,-2067.878415,77.139576,7.252247,0.124695,-0.019911,0.012295,0.000404,0.003319,-2.944983,5.989986,0.001790,0.000161,0.012205
3833.637709,73.597393,-2066.229482,76.890083,7.275783,0.125458,-0.013500,0.011242,0.000359,0.003093,-2.642659,6.152397,0.001686,0.000209,0.011158
3835.637520,74.663484,-2064.556280,76.639205,7.297259,0.126071,-0.007566,0.010236,0.000254,0.002841,-2.401492,6.278930,0.001554,0.000177,0.010156
3837.637331,75.695014,-2062.861691,76.387348,7.316773,0.126431,-0.002152,0.009279,0.000105,0.002573,-2.194833,6.388900,0.001403,0.000086,0.009205
3839.637142,76.694869,-2061.148274,76.135090,7.334425,0.126467,0.002716,0.008375,-0.000069,0.002295,-1.993467,6.488077,0.001239,-0.000047,0.008308
3841.636953,77.665878,-2059.418300,75.883112,7.350322,0.126145,0.007024,0.007524,-0.000252,0.002014,-1.837014,6.551764,0.001068,-0.000200,0.007466
3843.636764,78.610780,-2057.673781,75.632130,7.364572,0.125466,0.010775,0.006728,-0.000427,0.001737,-1.719857,6.597463,0.000895,-0.000355,0.006679
3845.636575,79.532193,-2055.916500,75.382828,7.377285,0.124458,0.013979,0.005987,-0.000581,0.001468,-1.599943,6.648373,0.000725,-0.000498,0.005948
3847.636386,80.432601,-2054.148041,75.135810,7.388571,0.123175,0.016661,0.005301,-0.000703,0.001214,-1.498940,6.682846,0.000563,-0.000615,0.005272
3849.636197,81.314333,-2052.369811,74.891558,7.398540,0.121683,0.018852,0.004670,-0.000788,0.000976,-1.444134,6.694056,0.000410,-0.000701,0.004649
3851.636008,82.179556,-2050.583067,74.650410,7.407302,0.120060,0.020584,0.004092,-0.000835,0.000756,-1.402253,6.708099,0.000266,-0.000751,0.004079
3853.635819,83.030265,-2048.788926,74.412553,7.414961,0.118382,0.021894,0.003568,-0.000844,0.000554,-1.360555,6.723456,0.000132,-0.000766,0.003560
3855.635630,83.868289,-2046.988387,74.178024,7.421622,0.116719,0.022814,0.003094,-0.000819,0.000366,-1.338662,6.721157,0.000006,-0.000749,0.003091
3857.635441,84.695285,-2045.182338,73.946732,7.427386,0.115131,0.023373,0.002670,-0.000768,0.000193,-1.339349,6.697459,-0.000114,-0.000706,0.002669
3859.635252,85.512744,-2043.371565,73.718479,7.432347,0.113666,0.023601,0.002292,-0.000697,0.000035,-1.358065,6.658461,-0.000225,-0.000643,0.002293
3861.635063,86.321994,-2041.556763,73.492987,7.436599,0.112355,0.023527,0.001960,-0.000614,-0.000108,-1.391943,6.606656,-0.000328,-0.000568,0.001961
