,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,t_opt
176,351.966738,37.612139,-0.012545,-0.004513,3.179606,2.018742,0.653399,-5.015221,8.746973
177,353.966549,37.781742,-0.021582,-0.004509,3.214270,1.752676,0.187578,-4.955732,8.800025
178,355.966360,37.951762,-0.030521,-0.004416,3.224177,1.490945,-0.456777,-4.918616,8.852839
179,357.966171,38.120653,-0.039191,-0.004243,3.200160,1.232332,-1.393739,-4.900911,8.905417
180,359.965982,38.286264,-0.047447,-0.004002,3.127201,0.975780,-2.222358,-4.898836,8.957765
181,361.965793,38.446251,-0.055162,-0.003705,3.011360,0.720428,-3.024490,-4.907418,9.009890
182,363.965604,38.598504,-0.062236,-0.003364,2.854350,0.465668,-3.660583,-4.920852,9.061803
183,365.965415,38.741220,-0.068598,-0.002994,2.665045,0.211190,-4.219509,-4.932439,9.113517
184,367.965226,38.872949,-0.074198,-0.002605,2.447612,-0.042981,-4.441020,-4.934284,9.165048
185,369.965037,38.992808,-0.079013,-0.002211,2.219506,-0.296422,-4.407118,-4.917542,9.216411
186,371.964848,39.100696,-0.083046,-0.001825,1.993806,-0.548263,-4.116843,-4.873203,9.267624
187,373.964659,39.197166,-0.086324,-0.001459,1.783524,-0.797178,-3.708428,-4.792623,9.318702
188,375.964470,39.283237,-0.088899,-0.001122,1.594547,-1.041405,-3.011976,-4.668085,9.369661
189,377.964281,39.360429,-0.090839,-0.000825,1.441380,-1.278789,-2.211380,-4.493475,9.420514
190,379.964092,39.430741,-0.092226,-0.000570,1.329137,-1.506864,-0.209756,-4.263161,9.471271
191,381.963903,39.497817,-0.093151,-0.000362,1.318509,-1.722872,2.667061,-3.977803,9.521939
192,383.963714,39.567920,-0.093704,-0.000198,1.453412,-1.924073,3.481265,-3.652967,9.572520
193,385.963525,39.645734,-0.093970,-0.000075,1.629167,-2.108497,4.407028,-3.307883,9.623006
194,387.963336,39.733405,-0.094024,0.000016,1.851196,-2.275150,5.228019,-2.956295,9.673387
195,389.963147,39.833054,-0.093924,0.000081,2.113967,-2.423739,5.602520,-2.609244,9.723649
