right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z
238.996957,651.076469,1.600674,250.512548,640.804686,-0.843686
238.714554,650.766271,1.601174,250.234675,640.493210,-0.843856
238.434210,650.454212,1.601436,249.980029,640.206544,-0.843967
238.154016,650.142017,1.601681,249.699688,639.890767,-0.844082
237.873822,649.829823,1.601925,249.422569,639.578619,-0.844196
237.594492,649.516860,1.602047,249.158435,639.280906,-0.844278
237.317402,649.201908,1.601850,248.878528,638.964743,-0.844267
237.040312,648.886955,1.601654,248.601840,638.652214,-0.844257
236.763221,648.572002,1.601457,248.321933,638.336052,-0.844247
236.487754,648.255634,1.601054,248.061666,638.041397,-0.844172
236.213261,647.938415,1.600528,247.785504,637.728402,-0.844058
235.938769,647.621196,1.600001,247.506132,637.411768,-0.843942
235.664277,647.303977,1.599475,247.246043,637.116955,-0.843831
235.392102,646.984768,1.598674,246.967151,636.799898,-0.843599
235.119997,646.665499,1.597866,246.691465,636.486485,-0.843370
234.847892,646.346231,1.597057,246.412572,636.169427,-0.843139
234.576464,646.026389,1.596177,246.175807,635.899349,-0.842957
234.306496,645.705312,1.595141,245.901347,635.584861,-0.842772
234.036529,645.384235,1.594105,245.626887,635.270373,-0.842586
233.766561,645.063158,1.593070,245.349236,634.952228,-0.842398
233.497544,644.741285,1.591981,245.120389,634.688125,-0.842294
233.229010,644.419007,1.590866,244.847329,634.372421,-0.842187
232.960477,644.096729,1.589750,244.571094,634.053045,-0.842078
232.691951,643.774446,1.588635,244.332961,633.777722,-0.841985
232.424180,643.451534,1.587579,244.067614,633.468186,-0.841955
232.156409,643.128623,1.586523,243.795951,633.151278,-0.841924
231.888639,642.805711,1.585466,243.521130,632.830685,-0.841893
231.620909,642.482765,1.584479,243.290903,632.561366,-0.841883
231.353254,642.159757,1.583615,243.020546,632.243345,-0.841909
231.085598,641.836749,1.582751,242.747044,631.921625,-0.841935
230.817943,641.513741,1.581888,242.476687,631.603604,-0.841961
230.549876,641.191074,1.581260,242.238444,631.321987,-0.841989
230.281635,640.868552,1.580734,241.969167,631.003050,-0.842024
230.013394,640.546029,1.580207,241.696760,630.680404,-0.842059
229.745149,640.223510,1.579692,241.449406,630.387422,-0.842091
229.476828,639.901054,1.579398,241.184149,630.071445,-0.842097
229.208507,639.578598,1.579104,240.915772,629.751751,-0.842103
228.940186,639.256142,1.578810,240.644273,629.428339,-0.842108
228.671844,638.933703,1.578606,240.410599,629.149222,-0.842121
228.403469,638.611291,1.578540,240.143374,628.828563,-0.842149
228.135095,638.288879,1.578473,239.873042,628.504177,-0.842178
227.866721,637.966467,1.578407,239.605817,628.183518,-0.842206
227.598180,637.644194,1.578535,239.373508,627.903263,-0.842241
227.329581,637.321969,1.578732,239.104307,627.577937,-0.842284
227.060983,636.999744,1.578928,238.838200,627.256350,-0.842328
226.792385,636.677518,1.579143,238.599955,626.968407,-0.842366
226.523784,636.355295,1.579557,238.334837,626.646004,-0.842397
226.255183,636.033072,1.579970,238.066637,626.319852,-0.842429
225.986582,635.710849,1.580383,237.801520,625.997449,-0.842460
225.718168,635.388471,1.580852,237.558293,625.701033,-0.842467
225.449993,635.065894,1.581394,237.293970,625.377978,-0.842446
225.181818,634.743316,1.581936,237.026572,625.051168,-0.842424
224.913643,634.420739,1.582478,236.762249,624.728114,-0.842402
224.646091,634.097645,1.583062,236.510647,624.419736,-0.842295
224.378710,633.774410,1.583657,236.246853,624.096249,-0.842166
224.111328,633.451175,1.584252,235.979993,623.769000,-0.842036
223.844070,633.127837,1.584850,235.703807,623.430567,-0.841809
223.577628,632.803828,1.585469,235.436549,623.103643,-0.841379
223.311185,632.479818,1.586088,235.172362,622.780478,-0.840954
223.044742,632.155809,1.586707,234.908175,622.457312,-0.840530
222.778812,631.831380,1.587325,234.621956,622.108276,-0.839778
222.513439,631.506493,1.587941,234.354070,621.781867,-0.839002
222.248067,631.181606,1.588557,234.089263,621.459210,-0.838235
221.982695,630.856719,1.589173,233.827589,621.140260,-0.837423
221.718395,630.530960,1.589750,233.559886,620.813702,-0.836466
221.454322,630.205016,1.590317,233.295260,620.490897,-0.835520
221.190249,629.879072,1.590885,233.030634,620.168092,-0.834574
220.926406,629.552942,1.591442,232.791201,619.874844,-0.833690
220.663678,629.225914,1.591953,232.524373,619.547570,-0.832695
220.400949,628.898886,1.592464,232.260612,619.224058,-0.831710
220.138220,628.571857,1.592974,232.024475,618.934384,-0.830829
219.876186,628.244273,1.593456,231.761734,618.610043,-0.829837
219.614801,627.916169,1.593911,231.495938,618.281931,-0.828833
219.353416,627.588066,1.594366,231.233197,617.957590,-0.827842
219.092030,627.259963,1.594820,231.010634,617.681904,-0.827023
218.831751,626.930982,1.595239,230.749297,617.356431,-0.826101
218.571646,626.601863,1.595651,230.484921,617.027173,-0.825168
218.311542,626.272743,1.596064,230.223584,616.701699,-0.824247
218.051659,625.943449,1.596477,230.008810,616.432211,-0.823552
217.792614,625.613495,1.596893,229.749072,616.105459,-0.822739
217.533568,625.283541,1.597309,229.486314,615.774908,-0.821916
217.274522,624.953588,1.597725,229.244701,615.470950,-0.821160
217.015807,624.623375,1.598195,229.019771,615.184739,-0.820583
216.757355,624.292956,1.598708,228.761851,614.856551,-0.819921
216.498904,623.962537,1.599221,228.500932,614.524546,-0.819252
216.240452,623.632118,1.599734,228.300214,614.268692,-0.818756
215.982725,623.301134,1.600297,228.041281,613.935136,-0.818267
215.725077,622.970088,1.600865,227.785325,613.605413,-0.817784
215.467428,622.639043,1.601434,227.526392,613.271857,-0.817296
215.210010,622.307818,1.602010,227.327704,613.014424,-0.816986
214.953292,621.976050,1.602609,227.073741,612.683163,-0.816686
214.696574,621.644283,1.603208,226.816825,612.348051,-0.816382
214.439856,621.312515,1.603807,226.562862,612.016790,-0.816082
214.183694,620.980319,1.604423,226.366218,611.757793,-0.815960
213.927912,620.647829,1.605052,226.111345,611.421123,-0.815845
213.672129,620.315340,1.605681,225.859401,611.088324,-0.815732
213.416347,619.982850,1.606309,225.622106,610.774873,-0.815625
213.161329,619.649774,1.606989,225.409898,610.491138,-0.815672
212.906360,619.316661,1.607672,225.156993,610.152989,-0.815729
212.651391,618.983547,1.608356,224.906995,609.818725,-0.815785
212.396611,618.650290,1.609063,224.700817,609.542603,-0.815845
212.142302,618.316672,1.609832,224.449560,609.203227,-0.816009
211.887994,617.983054,1.610600,224.201190,608.867752,-0.816170
211.633686,617.649436,1.611369,223.952820,608.532277,-0.816332
211.380107,617.315264,1.612130,223.736792,608.239289,-0.816486
211.126956,616.980767,1.612885,223.486784,607.898992,-0.816676
210.873805,616.646270,1.613641,223.239649,607.562606,-0.816865
210.620654,616.311773,1.614396,222.992515,607.226220,-0.817054
210.369207,615.975993,1.615026,222.769125,606.920572,-0.817194
210.117805,615.640179,1.615652,222.520039,606.579600,-0.817347
209.866402,615.304366,1.616278,222.273815,606.242547,-0.817499
209.615509,614.968173,1.616873,222.039154,605.921090,-0.817613
209.365698,614.631174,1.617402,221.790530,605.579780,-0.817638
209.115888,614.294174,1.617931,221.544763,605.242394,-0.817662
208.866078,613.957174,1.618460,221.296139,604.901084,-0.817688
208.617334,613.619388,1.618923,221.050379,604.563693,-0.817560
208.369129,613.281204,1.619353,220.801764,604.222376,-0.817368
208.120925,612.943020,1.619783,220.556007,603.884983,-0.817178
207.872735,612.604824,1.620212,220.324603,603.567158,-0.816988
207.626219,612.265407,1.620529,220.076573,603.225416,-0.816692
207.379703,611.925990,1.620845,219.831394,602.887602,-0.816400
207.133186,611.586573,1.621161,219.583364,602.545860,-0.816104
206.887283,611.246714,1.621435,219.346922,602.219697,-0.815738
206.642499,610.906046,1.621630,219.102078,601.881641,-0.815295
206.397714,610.565378,1.621826,218.854388,601.539653,-0.814847
206.152929,610.224710,1.622021,218.612391,601.205527,-0.814408
205.909270,609.883237,1.622149,218.373690,600.875008,-0.813853
205.666096,609.541417,1.622249,218.129308,600.536618,-0.813283
205.422922,609.199598,1.622348,217.884926,600.198227,-0.812713
205.179808,608.857736,1.622445,217.655001,599.879332,-0.812147
204.938015,608.514938,1.622494,217.411308,599.540445,-0.811496
204.696222,608.172140,1.622543,217.167615,599.201558,-0.810844
204.454429,607.829342,1.622592,216.921089,598.858730,-0.810185
204.212892,607.486364,1.622675,216.697840,598.546991,-0.809545
203.971760,607.143100,1.622814,216.454972,598.207512,-0.808838
203.730629,606.799837,1.622952,216.212104,597.868034,-0.808130
203.489497,606.456574,1.623090,215.991912,597.560075,-0.807485
203.248588,606.113154,1.623345,215.747146,597.215989,-0.806730
203.007761,605.769677,1.623642,215.505192,596.875859,-0.805984
202.766934,605.426200,1.623939,215.260425,596.531773,-0.805229
202.526143,605.082698,1.624247,215.038526,596.219072,-0.804510
202.285775,604.738899,1.624673,214.794518,595.874447,-0.803684
202.045407,604.395101,1.625099,214.553316,595.533784,-0.802866
201.805039,604.051302,1.625525,214.309309,595.189159,-0.802040
201.565123,603.707189,1.625956,214.088355,594.875789,-0.801221
201.325827,603.362644,1.626394,213.845065,594.530658,-0.800314
201.086531,603.018099,1.626831,213.604572,594.189493,-0.799418
200.847234,602.673554,1.627268,213.395083,593.891795,-0.798640
200.608820,602.328398,1.627703,213.153036,593.545791,-0.797755
200.370675,601.983056,1.628136,212.913772,593.203763,-0.796879
200.132530,601.637714,1.628570,212.671726,592.857759,-0.795994
199.894512,601.292286,1.629003,212.472181,592.570874,-0.795300
199.657517,600.946153,1.629433,212.234442,592.227785,-0.794502
199.420522,600.600021,1.629864,211.993938,591.880706,-0.793695
199.183528,600.253889,1.630294,211.756199,591.537616,-0.792897
198.947011,599.907430,1.630732,211.561261,591.253448,-0.792324
198.711070,599.560579,1.631179,211.325217,590.909189,-0.791635
198.475129,599.213727,1.631625,211.086429,590.560928,-0.790938
198.239188,598.866876,1.632072,210.894403,590.280648,-0.790384
198.003992,598.519519,1.632550,210.657377,589.931184,-0.789806
197.768984,598.172035,1.633036,210.423076,589.585737,-0.789234
197.533977,597.824550,1.633523,210.188775,589.240290,-0.788662
197.299148,597.476945,1.634006,210.001394,588.962721,-0.788249
197.065404,597.128610,1.634469,209.766287,588.611964,-0.787817
196.831659,596.780274,1.634932,209.533883,588.265238,-0.787390
196.597915,596.431939,1.635396,209.298776,587.914480,-0.786958
196.364628,596.083298,1.635878,209.113445,587.635537,-0.786703
196.131825,595.734332,1.636380,208.882962,587.287531,-0.786425
