right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z
206.568682,610.803992,1.620384,218.946464,601.666334,-0.816037
205.393861,609.159269,1.620538,217.793048,600.070513,-0.813466
204.228487,607.508263,1.620652,216.643846,598.471653,-0.810173
203.067568,605.854724,1.621689,215.500118,596.868867,-0.806462
201.909127,604.200077,1.623918,214.361439,595.262478,-0.802292
200.756551,602.541846,1.626549,213.227498,593.652738,-0.797695
199.611607,600.878812,1.629134,212.101755,592.037175,-0.793470
198.473851,599.211272,1.631640,210.986080,590.414479,-0.790049
197.342532,597.539733,1.634124,209.881296,588.784111,-0.787621
196.218553,595.863494,1.636377,208.788143,587.145599,-0.786300
195.100739,594.183384,1.638636,207.706126,585.499322,-0.785893
193.990014,592.498724,1.640790,206.633300,583.846655,-0.785894
192.887832,590.808549,1.642697,205.566983,582.189465,-0.785659
191.794545,589.112671,1.644429,204.506943,580.527933,-0.785001
190.707318,587.413036,1.646652,203.453726,578.861756,-0.783916
189.625403,585.710246,1.649585,202.403876,577.193289,-0.781681
188.548935,584.004238,1.653229,201.351522,575.526474,-0.777230
187.476165,582.296267,1.657865,200.296357,573.861461,-0.770649
186.409574,580.584686,1.662904,199.246967,572.192597,-0.763809
185.352319,578.867468,1.667544,198.207590,570.517129,-0.757733
184.306306,577.143385,1.671217,197.179181,568.834482,-0.752820
183.271856,575.412279,1.673682,196.163398,567.143615,-0.749545
182.248586,573.674381,1.674891,195.160705,565.444269,-0.748075
181.237346,571.929166,1.674649,194.171466,563.736247,-0.748457
180.235318,570.178428,1.673510,193.194413,562.020415,-0.750310
179.239647,568.423978,1.672127,192.226228,560.298909,-0.752816
178.250149,566.665951,1.670726,191.265068,558.572936,-0.755400
177.265953,564.904940,1.669676,190.306896,556.845040,-0.757051
176.284271,563.142675,1.669702,189.352200,555.114977,-0.757631
175.304583,561.379558,1.671052,188.405129,553.380247,-0.757678
174.331218,559.612944,1.673044,187.463688,551.642193,-0.756688
173.365124,557.842418,1.675614,186.519482,549.905935,-0.753109
172.406722,556.067747,1.678746,185.565512,548.175697,-0.745810
171.455979,554.289079,1.682430,184.609264,546.446895,-0.736445
170.510217,552.508010,1.687006,183.656737,544.715923,-0.726420
169.569068,550.724723,1.692265,182.711916,542.980404,-0.716738
168.632922,548.938936,1.697821,181.777607,541.238639,-0.708155
167.704645,547.148839,1.702869,180.857330,539.488545,-0.701520
166.787516,545.352422,1.706595,179.953850,537.728494,-0.697440
165.882389,543.549093,1.708737,179.068238,535.957874,-0.696113
164.988379,541.739335,1.709440,178.199477,534.177252,-0.697241
164.102996,539.924466,1.709234,177.342821,532.389372,-0.699800
163.221616,538.107079,1.709068,176.494589,530.596297,-0.702919
162.342579,536.288047,1.709358,175.649112,528.801200,-0.705448
161.467239,534.466511,1.709945,174.800065,527.007588,-0.706218
