right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z
-389.746149,22.500667,2.359689,-379.837195,18.664402,2.159133
-389.832286,20.303437,2.410893,-380.143285,16.814147,2.236234
-389.874221,18.094941,2.466552,-380.355232,14.916028,2.309869
-389.912873,15.889560,2.526380,-380.494301,12.985221,2.381121
-389.922952,13.680999,2.588992,-380.549704,11.026060,2.450390
-389.922772,11.478546,2.653864,-380.546335,9.052631,2.518508
-389.916470,9.286081,2.720346,-380.539800,7.083747,2.586601
-389.902931,7.105491,2.787882,-380.537323,5.122924,2.654846
-389.886731,4.939643,2.856177,-380.545692,3.172865,2.723201
-389.871212,2.790530,2.925071,-380.547619,1.231254,2.791207
-389.857233,0.659067,2.994463,-380.542196,-0.700801,2.858632
-389.845710,-1.454311,3.064306,-380.536849,-2.621869,2.925449
-389.838261,-3.549465,3.134611,-380.532524,-4.533358,2.991594
-389.834168,-5.627152,3.205430,-380.528470,-6.437912,3.056980
-389.836824,-7.688445,3.276970,-380.524228,-8.338109,3.121464
-389.845715,-9.735254,3.349443,-380.521201,-10.236195,3.184908
-389.840374,-11.770398,3.422650,-380.521733,-12.134213,3.247273
-389.813583,-13.795316,3.496314,-380.526986,-14.033988,3.308704
-389.790811,-15.810744,3.570481,-380.533617,-15.937063,3.369459
-389.773534,-17.818699,3.644500,-380.533074,-17.844429,3.429782
-389.756784,-19.821041,3.717409,-380.523813,-19.756423,3.490072
-389.741380,-21.819387,3.788318,-380.511647,-21.673211,3.550872
-389.726608,-23.815132,3.856477,-380.502403,-23.595175,3.612613
-389.712932,-25.809487,3.921515,-380.500076,-25.522837,3.675455
-389.700109,-27.803457,3.983499,-380.502499,-27.456561,3.739119
-389.687658,-29.797838,4.042909,-380.507017,-29.396605,3.803103
-389.673716,-31.793171,4.100406,-380.511200,-31.343074,3.866889
-389.658813,-33.789944,4.156713,-380.517635,-33.296225,3.930193
-389.644187,-35.788532,4.212449,-380.529045,-35.256316,3.992883
-389.631638,-37.789252,4.268072,-380.546443,-37.223412,4.054941
-389.620631,-39.792149,4.323810,-380.569319,-39.197416,4.116430
-389.609430,-41.797078,4.379724,-380.595951,-41.178000,4.177488
-389.594060,-43.803612,4.435743,-380.619250,-43.164388,4.238168
-389.575981,-45.811619,4.491876,-380.633720,-45.155753,4.298552
-389.559430,-47.821122,4.548168,-380.645980,-47.152130,4.358959
-389.547835,-49.832060,4.604641,-380.663406,-49.153638,4.419662
-389.541862,-51.844136,4.661260,-380.692238,-51.160319,4.480842
-389.538878,-53.856769,4.717941,-380.727996,-53.171360,4.542395
-389.536563,-55.869381,4.774604,-380.762830,-55.185660,4.604116
-389.532488,-57.881375,4.831158,-380.788827,-57.202125,4.665788
-389.529363,-59.892585,4.887626,-380.809124,-59.220526,4.727390
-389.529800,-61.902854,4.944003,-380.830554,-61.240950,4.788962
-389.533686,-63.911836,5.000266,-380.860304,-63.263506,4.850520
-389.541031,-65.919238,5.056404,-380.897391,-65.287677,4.911933
-389.551609,-67.924797,5.112440,-380.937794,-67.312745,4.973023
-389.563940,-69.928226,5.168433,-380.975126,-69.337878,5.033570
-389.578163,-71.929415,5.224508,-381.010720,-71.362848,5.093495
-389.594137,-73.928300,5.280800,-381.048184,-73.387601,5.152779
-389.610263,-75.924767,5.337419,-381.090674,-75.412065,5.211459
-389.626788,-77.918918,5.394433,-381.140321,-77.436084,5.269679
-389.644307,-79.910890,5.451863,-381.190677,-79.459067,5.327575
-389.663064,-81.900812,5.509684,-381.234361,-81.480519,5.385356
-389.682760,-83.888848,5.567853,-381.270989,-83.500386,5.443357
-389.703727,-85.875171,5.626363,-381.308798,-85.519057,5.501999
-389.725502,-87.859954,5.685229,-381.355277,-87.536773,5.561610
-389.747425,-89.843354,5.744493,-381.413948,-89.553566,5.622355
-389.769909,-91.825563,5.804222,-381.481431,-91.569225,5.684207
-389.792934,-93.806761,5.864473,-381.553824,-93.583583,5.747066
-389.816380,-95.787130,5.925277,-381.627811,-95.596560,5.810826
-389.841694,-97.766863,5.986658,-381.700850,-97.608157,5.875398
-389.869419,-99.746130,6.048617,-381.762440,-99.618290,5.940595
-389.899505,-101.725076,6.111148,-381.811452,-101.627145,6.006376
-389.932015,-103.703829,6.174264,-381.859372,-103.635031,6.072862
-389.964641,-105.682516,6.237974,-381.919990,-105.642095,6.140197
-389.995852,-107.661268,6.302318,-381.997879,-107.648295,6.208402
-390.027474,-109.640227,6.367391,-382.078834,-109.653544,6.277302
-390.060815,-111.619489,6.433287,-382.154008,-111.657940,6.346828
-390.095721,-113.599158,6.500081,-382.217939,-113.661647,6.416978
-390.132690,-115.579274,6.567877,-382.276508,-115.664785,6.487871
-390.169666,-117.559921,6.636765,-382.334867,-117.667391,6.559601
-390.206590,-119.541155,6.706886,-382.395966,-119.669478,6.632209
-390.243228,-121.523015,6.778381,-382.454335,-121.671193,6.705651
-390.280258,-123.505506,6.851390,-382.509596,-123.672626,6.779916
-390.316945,-125.488674,6.926003,-382.562147,-125.673832,6.855012
-390.353412,-127.472527,7.002249,-382.611486,-127.674899,6.930956
-390.388951,-129.457114,7.080113,-382.658999,-129.675839,7.007770
-390.424265,-131.442424,7.159580,-382.705777,-131.676672,7.085457
-390.459935,-133.428457,7.240631,-382.753605,-133.677374,7.163997
-390.495302,-135.415269,7.323234,-382.799400,-135.678061,7.243283
-390.529657,-137.402908,7.407298,-382.841823,-137.678810,7.323238
-390.564674,-139.391335,7.492689,-382.882456,-139.679593,7.403848
-390.600398,-141.380584,7.579200,-382.923587,-141.680324,7.485131
-390.637290,-143.370644,7.666606,-382.965695,-143.680981,7.567103
-390.674180,-145.361587,7.754674,-383.007625,-145.681599,7.649741
-390.711830,-147.353384,7.843228,-383.049739,-147.682152,7.733029
-390.749033,-149.346098,7.932096,-383.090689,-149.682676,7.816920
-390.786677,-151.339665,8.021204,-383.131358,-151.683133,7.901356
-390.824785,-153.334082,8.110482,-383.171943,-153.683485,7.986288
-390.863562,-155.329308,8.199878,-383.214354,-155.683628,8.071711
-390.903386,-157.325298,8.289365,-383.257494,-157.683586,8.157580
-390.944220,-159.322001,8.378911,-383.301810,-159.683323,8.243899
-390.985689,-161.319399,8.468501,-383.346537,-161.682850,8.330638
-391.027927,-163.317431,8.558156,-383.392526,-163.682112,8.417787
-391.071021,-165.316033,8.647897,-383.439211,-165.681127,8.505311
-391.113905,-167.315217,8.737726,-383.486085,-167.679898,8.593179
-391.157028,-169.314878,8.827649,-383.533039,-169.678438,8.681396
-391.199810,-171.315001,8.917665,-383.579625,-171.676754,8.769941
