right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z
-234.589624,52.564104,-2.178535,-234.656860,41.723612,-2.033890
-235.639069,52.574111,-2.156872,-235.715133,41.731009,-2.012920
-236.688510,52.584507,-2.135194,-236.760953,41.738410,-1.992133
-237.737947,52.595267,-2.113496,-237.806772,41.745836,-1.971269
-238.787380,52.606345,-2.091778,-238.852590,41.752805,-1.950220
-239.836814,52.617312,-2.070037,-239.898406,41.759656,-1.929045
-240.886247,52.628286,-2.048280,-240.944221,41.766334,-1.907761
-241.935678,52.639522,-2.026510,-242.002486,41.772701,-1.886071
-242.985105,52.651025,-2.004715,-243.048299,41.778987,-1.864563
-244.034530,52.662722,-1.982927,-244.094112,41.785273,-1.843024
-245.083953,52.674643,-1.961166,-245.152374,41.791633,-1.821203
-246.133378,52.686565,-1.939510,-246.198185,41.798403,-1.799740
-247.182801,52.698648,-1.917850,-247.243996,41.805113,-1.778301
-248.232221,52.710938,-1.896172,-248.302259,41.811828,-1.756626
-249.281633,52.723880,-1.874418,-249.348071,41.818620,-1.735201
-250.331035,52.737339,-1.852547,-250.393883,41.825308,-1.713793
-251.380429,52.751223,-1.830569,-251.452147,41.832051,-1.692141
-252.429814,52.765531,-1.808440,-252.497959,41.838836,-1.670753
-253.479191,52.780213,-1.786163,-253.543774,41.845232,-1.649382
-254.528563,52.795183,-1.763798,-254.589590,41.851516,-1.628028
-255.577927,52.810507,-1.741351,-255.635407,41.857795,-1.606694
-256.627293,52.825831,-1.718959,-256.693672,41.864464,-1.585090
-257.676667,52.840784,-1.696735,-257.739486,41.871004,-1.563703
-258.726052,52.855258,-1.674716,-258.797749,41.877540,-1.542026
-259.775437,52.869738,-1.652647,-259.843563,41.884157,-1.520630
-260.824816,52.884408,-1.630452,-260.889376,41.890982,-1.499273
-261.874188,52.899338,-1.608094,-261.947638,41.898053,-1.477715
-262.923540,52.915002,-1.585306,-262.993453,41.905177,-1.456533
-263.972870,52.931617,-1.562202,-264.051718,41.912515,-1.435188
-265.022184,52.948867,-1.538829,-265.097534,41.919919,-1.414168
