s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
1690.065657,-677.500742,-1048.210325,91.441562,2.783270,-0.128482,0.001252,0.000578,-0.000207,0.000003,-1.531203,6.283689,0.000077,-0.000206,0.000573
1692.066732,-679.359468,-1047.514840,91.697964,2.784426,-0.128896,0.001259,0.000638,-0.000212,0.000010,-1.515650,6.293918,0.000092,-0.000211,0.000633
1694.067763,-681.218876,-1046.821611,91.955183,2.785703,-0.129319,0.001279,0.000706,-0.000214,0.000015,-1.502402,6.310289,0.000106,-0.000213,0.000700
1696.068716,-683.079015,-1046.130884,92.213232,2.787116,-0.129747,0.001309,0.000777,-0.000207,0.000017,-1.488205,6.328096,0.000118,-0.000206,0.000771
1698.069540,-684.939929,-1045.442931,92.472114,2.788671,-0.130162,0.001343,0.000856,-0.000196,0.000017,-1.475856,6.347203,0.000128,-0.000195,0.000849
1700.070198,-686.801680,-1044.758039,92.731799,2.790384,-0.130553,0.001377,0.000941,-0.000182,0.000015,-1.467541,6.364468,0.000138,-0.000181,0.000934
1702.070649,-688.664341,-1044.076518,92.992234,2.792267,-0.130917,0.001407,0.001033,-0.000164,0.000011,-1.464985,6.379953,0.000146,-0.000162,0.001025
1704.070855,-690.527995,-1043.398704,93.253360,2.794334,-0.131245,0.001429,0.001131,-0.000143,0.000003,-1.467627,6.391724,0.000151,-0.000142,0.001122
1706.070792,-692.392747,-1042.724953,93.515102,2.796596,-0.131532,0.001434,0.001235,-0.000116,-0.000010,-1.472549,6.405114,0.000152,-0.000114,0.001225
1708.070442,-694.258713,-1042.055637,93.777375,2.799066,-0.131763,0.001414,0.001344,-0.000082,-0.000025,-1.475695,6.421231,0.000152,-0.000080,0.001333
1710.069803,-696.126035,-1041.391150,94.040071,2.801754,-0.131928,0.001364,0.001459,-0.000044,-0.000040,-1.481723,6.436788,0.000152,-0.000042,0.001447
1712.068887,-697.994873,-1040.731894,94.303058,2.804671,-0.132016,0.001284,0.001578,-0.000008,-0.000052,-1.493841,6.447059,0.000156,-0.000006,0.001564
1714.067721,-699.865408,-1040.078291,94.566188,2.807825,-0.132032,0.001180,0.001701,0.000017,-0.000061,-1.512246,6.453757,0.000163,0.000019,0.001686
1716.066362,-701.737850,-1039.430768,94.829326,2.811224,-0.131999,0.001058,0.001825,0.000030,-0.000073,-1.539074,6.453303,0.000167,0.000031,0.001810
1718.064877,-703.612412,-1038.789767,95.092382,2.814873,-0.131940,0.000913,0.001956,0.000032,-0.000094,-1.569183,6.450683,0.000163,0.000034,0.001939
1720.063368,-705.489332,-1038.155731,95.355319,2.818781,-0.131876,0.000725,0.002085,0.000020,-0.000126,-1.600277,6.448239,0.000149,0.000022,0.002067
1722.061950,-707.368858,-1037.529123,95.618142,2.822949,-0.131835,0.000474,0.002218,-0.000004,-0.000176,-1.637794,6.441336,0.000116,-0.000003,0.002199
1724.060766,-709.251250,-1036.910403,95.880916,2.827382,-0.131843,0.000123,0.002352,-0.000048,-0.000249,-1.686850,6.424761,0.000060,-0.000047,0.002332
