s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
5428.715970,206.331447,-526.065313,3.586698,1.385242,-0.036343,-0.045461,0.016788,-0.000529,-0.001196,-4.608932,4.608932,-0.000586,-0.001291,0.016735
5429.657472,206.516305,-525.142787,3.621335,1.401048,-0.036841,-0.046587,-0.003083,0.000070,0.000308,-4.644026,4.644026,0.000194,0.000214,-0.003074
5430.766947,206.724646,-524.053846,3.663012,1.397627,-0.036763,-0.046245,0.023557,-0.000293,-0.000971,-4.680226,4.680226,-0.000105,-0.001381,0.023503
5431.708513,206.895767,-523.128621,3.697968,1.419808,-0.037039,-0.047159,0.020604,0.000474,-0.001086,-4.712236,4.712236,-0.000323,-0.000497,0.020589
5432.599868,207.038819,-522.249453,3.731334,1.438174,-0.036616,-0.048128,0.030483,0.000001,-0.000758,-4.756746,4.756746,0.000358,-0.001465,0.030427
5433.515979,207.182057,-521.345263,3.765745,1.466099,-0.036616,-0.048822,0.006232,-0.000531,0.000323,-4.807312,4.807312,0.000551,-0.000834,0.006194
5434.568783,207.316846,-520.301872,3.805281,1.472660,-0.037174,-0.048482,0.024998,0.000116,-0.000715,-4.857511,4.857511,0.000214,-0.001094,0.024957
5435.503593,207.423338,-519.373820,3.840631,1.496028,-0.037065,-0.049151,0.028710,0.000352,-0.000770,-4.902947,4.902947,0.000294,-0.001058,0.028673
5436.445275,207.508398,-518.436661,3.876135,1.523064,-0.036734,-0.049876,0.007941,-0.001646,-0.000103,-4.933001,4.933001,0.000189,-0.002040,0.007843
5437.455300,207.567180,-517.429047,3.913676,1.531084,-0.038397,-0.049979,0.019771,-0.001957,-0.000215,-4.963564,4.963564,0.000544,-0.002941,0.019634
5438.409363,207.614911,-516.476899,3.950725,1.549947,-0.040264,-0.050184,0.018436,-0.000503,0.000133,-4.992346,4.992346,0.000875,-0.001426,0.018372
5439.376109,207.645287,-515.511432,3.990093,1.567769,-0.040750,-0.050056,0.004867,-0.003465,0.001012,-5.013265,5.013265,0.001210,-0.003704,0.004683
5440.423734,207.658189,-514.464774,4.033208,1.572868,-0.044379,-0.048996,0.015412,0.000352,0.000732,-5.032834,5.032834,0.001416,-0.000403,0.015395
5441.427822,207.660913,-513.461679,4.077766,1.588342,-0.044026,-0.048261,0.025590,-0.001175,0.000258,-5.052275,5.052275,0.001384,-0.002407,0.025478
5442.319931,207.643718,-512.570600,4.117026,1.611171,-0.045075,-0.048031,0.021402,-0.004381,0.000375,-5.063228,5.063228,0.001339,-0.005402,0.021145
5443.274238,207.611626,-511.617804,4.160042,1.631595,-0.049255,-0.047673,0.017024,0.001566,0.001032,-5.076817,5.076817,0.001870,0.000754,0.017058
5444.309522,207.554181,-510.585373,4.211018,1.649219,-0.047634,-0.046605,0.025653,-0.000272,0.000404,-5.091477,5.091477,0.001626,-0.001465,0.025584
5445.195339,207.476362,-509.703989,4.253188,1.671943,-0.047875,-0.046247,0.046769,-0.001780,-0.000676,-5.093728,5.093728,0.001563,-0.003938,0.046583
5446.068697,207.388077,-508.836110,4.294984,1.712789,-0.049430,-0.046837,0.023329,0.001463,0.000218,-5.094267,5.094267,0.001371,0.000370,0.023343
5447.041833,207.244441,-507.874835,4.343054,1.735491,-0.048006,-0.046624,0.045623,-0.002645,-0.001125,-5.097061,5.097061,0.001064,-0.004766,0.045398
5447.840281,207.102757,-507.089990,4.381339,1.771919,-0.050118,-0.047522,0.035480,0.006557,-0.000216,-5.090992,5.090992,0.001562,0.004866,0.035707
5448.869433,206.896344,-506.083069,4.432892,1.808434,-0.043370,-0.047744,0.040205,0.000750,-0.002405,-5.087279,5.087279,-0.000662,-0.001168,0.040157
